Year,H,AB,R,HR,BB,SO,G,H_AB,R_G,HR_G,BB_G,SO_G
1871,3101,10822,2659,47,393,175,254,2.552160703,93.12896622,1.666687672,14.06424716,6.271767127
1872,4467,15665,3390,37,263,265,366,3.021713703,95.21473809,0.854107958,6.826916702,7.417730211
1873,4926,16959,3580,47,335,278,398,2.434940046,73.15998381,0.85714046,6.446053157,6.531580623
1874,5224,19104,3470,40,238,357,464,2.16663085,58.57441635,0.635368793,4.100776727,6.307870868
1875,6812,26833,4234,40,249,675,690,3.078394603,70.08773901,0.555119592,4.737154647,15.46610699
1876,5338,20121,3066,40,336,589,520,2.109191862,47.01267117,0.610268426,5.120654672,8.9232606
1877,3705,13667,2040,24,345,726,360,1.623140002,33.96013755,0.399896363,5.761221029,12.09190692
1878,3539,13644,1904,23,364,1081,368,1.554968894,31.04871362,0.373919065,5.930248126,17.60322245
1879,6171,24155,3409,58,508,1843,642,2.031839523,42.11351691,0.71064925,6.25369276,23.06429947
1880,5946,24301,3191,62,740,1993,680,1.954581473,37.49238948,0.72736681,8.708501007,23.48623423
1881,6339,24377,3425,76,1033,1784,672,2.079509019,40.77210692,0.904982957,12.28769869,21.23378556
1882,10333,41622,6092,178,1592,3345,1142,3.466550348,74.54884572,2.155191623,19.49144631,40.81789331
1883,14828,57667,9030,238,2329,5294,1570,4.110989066,92.04444122,2.425961427,23.73599073,53.93355969
1884,26593,109312,16742,689,4947,14837,3074,7.835304349,170.4205795,6.567177672,51.06772252,165.3249455
1885,15305,62725,9292,323,3530,6715,1780,3.898079537,83.41642991,2.897152944,31.7399718,60.40276637
1886,17974,72927,11512,413,5554,8978,2098,3.938973934,87.50495734,3.189335489,42.08413688,68.52971193
1887,20234,74735,13417,606,6053,5924,2112,4.324556528,101.4156139,4.638413255,45.72168248,44.90522533
1888,18000,75439,10628,521,4727,8232,2180,3.814175204,77.95304626,3.826711834,34.67840859,60.45262965
1889,20170,76478,12986,667,7316,7669,2176,4.219014373,95.43822676,4.91021686,53.84683864,56.28613128
1890,29472,113243,19383,764,11723,10820,3218,6.467670413,149.5499773,5.776680925,90.79096725,84.74454932
1891,19709,77660,12635,585,8035,7656,2216,4.313464372,97.25631456,4.560133773,61.29240128,58.5774226
1892,15643,63876,9388,417,6178,5973,1836,2.937347407,61.31780127,2.722127196,40.33472204,39.04334869
1893,15913,56898,10315,460,6143,3342,1570,3.352029997,78.82161012,3.503732142,46.96283,25.55411858
1894,17809,57577,11796,629,5870,3333,1596,3.703843643,88.7110102,4.72287682,44.13933047,25.0896885
1895,16827,56788,10514,488,5120,3623,1594,3.553481305,79.19018693,3.67152118,38.54769292,27.27467379
1896,16141,55577,9560,404,4854,3523,1584,3.48254993,72.44466672,3.05941902,36.76644994,26.65837231
1897,16522,56663,9536,368,4726,3729,1614,3.495650882,70.84591798,2.733299058,35.1406771,27.74285893
1898,16955,62661,9129,299,5092,4223,1840,3.246347759,59.53671408,1.950554157,33.19118811,27.54918331
1899,17741,62846,9672,352,4979,3849,1842,3.387941229,63.03895933,2.290846514,32.44963607,25.07571101
1900,10925,39132,5932,254,3034,2697,1138,2.233689637,41.73318097,1.784350563,21.34075181,18.94726059
1901,20957,77105,11068,455,5465,6977,2220,4.348898763,79.87174301,3.279042219,39.4168827,50.16054771
1902,20317,76151,9883,356,5435,6639,2230,4.265151623,70.933196,2.561925403,38.98660318,47.56181965
1903,19776,75439,9892,335,5369,4199,2228,4.190086626,70.97947016,2.400263283,38.54476565,30.3079277
1904,20363,82489,9307,331,5580,5026,2498,3.949378927,59.62076931,2.123172069,35.73879649,32.12005096
1905,20298,81841,9640,338,6189,,2474,3.966925744,62.34814933,2.188667485,40.02707416,0
1906,19744,80062,8883,263,6169,,2456,3.942385317,57.83964728,1.718220232,40.19293648,0
1907,19698,80302,8698,245,6101,,2466,3.923829789,56.44549577,1.592213406,39.5869965,0
1908,19279,80679,8423,267,5860,,2488,3.82153076,54.13931123,1.717258242,37.65696874,0
1909,19654,80621,8805,260,6505,,2482,3.899628745,56.77377475,1.677341858,41.91586027,0
1910,20332,81540,9580,361,7419,4415,2498,3.98909348,61.42421638,2.316005534,47.58558423,28.43499156
1911,21914,82261,11164,514,7838,4798,2474,4.259912933,72.21094673,3.325137491,50.64930972,30.80363416
1912,22040,82040,11154,443,7683,4627,2464,4.297982134,72.4715586,2.883504214,49.91419035,30.19604444
1913,21021,81212,9964,469,7273,9275,2468,4.138305496,64.5783446,3.029583708,47.17266719,60.12410306
1914,31129,122587,14532,711,11143,14925,3760,6.092168967,92.78050037,4.547891451,71.10734731,95.2604853
1915,30460,121704,14213,635,11120,14184,3728,6.006137542,91.51984274,4.097493324,71.57692296,91.32565579
1916,20285,81927,8889,383,7077,9536,2494,3.960848542,57.02231483,2.461228451,45.3576825,61.17670023
1917,20391,82055,8948,335,6910,8680,2494,3.975711028,57.40703471,2.151076493,44.34154208,55.68939053
1918,17085,67315,7385,235,5748,5925,2032,4.060549312,58.13153739,1.845055656,45.25888984,46.63920588
1919,19624,74671,8657,447,5982,6849,2236,4.205130323,61.9422632,3.198630772,42.81102905,48.9980443
1920,23278,84183,10762,630,6825,7285,2468,4.422517847,69.77950679,4.086098531,44.25102295,47.22928449
1921,24791,85205,11935,937,6871,6963,2458,4.653950933,77.6905294,6.0998996,44.71822202,45.3143856
1922,24620,85331,12059,1055,7252,6953,2476,4.612762114,77.91359984,6.82208383,46.85777395,44.94453342
1923,24224,85284,11874,980,7586,7019,2466,4.543429103,77.06408757,6.366035122,49.22600938,45.54823315
1924,24262,84725,11722,896,7352,6657,2462,4.580826516,76.16500855,5.835266577,47.72804148,43.26876427
1925,24913,85454,12596,1169,7749,6681,2456,4.663126113,82.05007957,7.61516854,50.4602569,43.53030074
1926,23505,83771,11443,863,7705,6811,2468,4.487790563,74.1578385,5.599009236,49.93698217,44.1686877
1927,23959,84461,11745,922,7431,6832,2472,4.536383949,75.98209652,5.965467505,48.08108312,44.23192191
